month,region,product,units,unit_price
2024-09,South,Widget A,485,114.02
2024-09,South,Widget B,47,6.35
2024-09,South,Gadget X,328,149.78
2024-09,South,Gadget Y,61,15.62
2024-09,South,Tool Z,119,78.35
2024-09,East,Widget A,77,140.32
2024-09,East,Widget B,461,14.97
2024-09,East,Gadget X,135,58.58
2024-09,East,Gadget Y,90,68.54
2024-09,East,Tool Z,288,107.01
2024-09,West,Widget A,323,147.66
2024-09,West,Widget B,423,99.83
2024-09,West,Gadget X,14,101.84
2024-09,West,Gadget Y,293,48.41
2024-09,West,Tool Z,349,20.02
2024-10,North,Widget A,459,24.47
2024-10,North,Widget B,69,134.01
2024-10,North,Gadget X,390,85.22
2024-10,North,Gadget Y,149,45.85
2024-10,North,Tool Z,117,109.05
2024-10,South,Widget A,114,104.69
2024-10,South,Widget B,446,43.28
2024-10,South,Gadget X,260,41.41
2024-10,South,Gadget Y,474,127.69
2024-10,South,Tool Z,57,96.97
2024-10,East,Widget A,434,45.12
2024-10,East,Widget B,11,53.37
2024-10,East,Gadget X,76,97.38
2024-10,East,Gadget Y,144,28.43
2024-10,East,Tool Z,236,84.99
2024-10,West,Widget A,228,86.33
2024-10,West,Widget B,67,15.91
2024-10,West,Gadget X,462,105.2
2024-10,West,Gadget Y,86,84.11
2024-10,West,Tool Z,437,58.54
2024-11,North,Widget A,292,26.47
2024-11,North,Widget B,75,11.07
2024-11,North,Gadget X,196,135.35
2024-11,North,Gadget Y,417,145.97
2024-11,North,Tool Z,30,135.34
2024-11,South,Widget A,117,103.9
2024-11,South,Widget B,351,19.91
2024-11,South,Gadget X,409,86.18
2024-11,South,Gadget Y,457,63.92
2024-11,South,Tool Z,327,113.67
2024-11,East,Widget A,483,139.83
2024-11,East,Widget B,452,28.56
2024-11,East,Gadget X,419,122.56
2024-11,East,Gadget Y,461,64.78
2024-11,East,Tool Z,101,111.8
2024-11,West,Widget A,180,118.45
2024-11,West,Widget B,220,121.32
2024-11,West,Gadget X,452,111.58
2024-11,West,Gadget Y,137,43.69
2024-11,West,Tool Z,413,106.69
2024-12,North,Widget A,205,131.46
2024-12,North,Widget B,449,73.25
2024-12,North,Gadget X,112,123.41
2024-12,North,Gadget Y,245,55.7
2024-12,North,Tool Z,430,120.33
2024-12,South,Widget A,126,37.32
2024-12,South,Widget B,347,33.0
2024-12,South,Gadget X,178,45.4
2024-12,South,Gadget Y,45,145.2
2024-12,South,Tool Z,152,55.92
2024-12,East,Widget A,270,62.95
2024-12,East,Widget B,441,82.75
2024-12,East,Gadget X,490,9.0
2024-12,East,Gadget Y,459,145.71
2024-12,East,Tool Z,101,89.19
2024-12,West,Widget A,145,10.55
2024-12,West,Widget B,315,68.01
2024-12,West,Gadget X,383,119.03
2024-12,West,Gadget Y,233,92.9
2024-12,West,Tool Z,271,21.77
